,Handle,Title,Type,description,craft,fabric,color,Product Types,Description
212,aiza-long-kurta-set-3322,Aiza Long Kurta Set,Long Kurta Set,"Step into elegance with our exquisite lime green handwoven silk chanderi ensemble. This long kurta boasts a chic slit neckline, full sleeves, and is elegantly paired with matching straight pants. Adorned with intricate embroidery in beige silk thread, accented with gold zari, sequins and pearls, it exudes luxury and sophistication. Complete your look with a matching handwoven cotton tissue dupatta featuring delicate motifs and a border, embellished with gold zari, sequins, and pearls, for a regal finish.","Thread Embroidery, Zari Work, Sequin Embroidery, Pearl Work","Chanderi, Tissue",Green,Kurta Set,"The dress is a three-piece suit in a muted olive-green color, featuring a long kurta with a V-neckline and three-quarter sleeves, adorned with delicate white floral embroidery around the neckline, sleeves, and scattered throughout the front, paired with matching straight-leg pants that also have embroidered details at the hem, and a coordinating dupatta with a sheer border and subtle floral embroidery.
"
213,afni-long-kurta-set-3321,Afni Long Kurta Set,Long Kurta Set,"Elevate your wardrobe with our exquisite handwoven silk chanderi long kurta in elegant off-white. Featuring a touch neckline with a slit, and full sleeves, it pairs seamlessly with matching straight pants. The kurta is adorned with lime green silk thread embroidery, silver sequins, and pearls, adding elegance and glamour. A co-ordinating handwoven cotton tissue dupatta with intricate lime green silk thread motifs, silver sequins, and pearls completes this sophisticated and graceful ensemble.","Thread Embroidery, Zari Work, Sequin Embroidery, Pearl Work","Chanderi, Tissue","White, Green",Kurta Set,"The dress is a light beige or off-white salwar kameez suit with a V-neckline adorned with intricate silver embroidery, the kurta features long sleeves and delicate floral embroidery patterns scattered across the front and sleeves, the salwar pants are straight-legged with matching embroidery along the hem, and a sheer dupatta with a green border and subtle embroidery completes the ensemble.
"
214,isbah-short-kurta-set-3320,Isbah Short Kurta Set,Short Kurta Set,"Step out in style with our handwoven cotton tissue short kurta in a captivating rose pink hue. Featuring a sophisticated touch neck with a slit and full sleeves, it pairs seamlessly with our handwoven cotton tissue Pakistani salwar in the same delightful hue. The kurta is beautifully enhanced with tonal silk thread embroidery, accented with gold sequins and pearls for a touch of luxury. Complete your look with a matching pure silk organza dupatta, adorned with intricate silk thread motifs and a detailed border, crafting an ensemble that radiates grace and sophistication.","Thread Embroidery, Sequin Embroidery, Pearl Work","Tissue, Organza",Pink,Kurta Set,"The dress is a light pink salwar kameez with a V-neckline, long sleeves, and intricate floral embroidery with bead embellishments along the neckline, sleeves, and hem of the tunic, paired with matching salwar pants that also feature embroidered floral details at the hem, and a sheer dupatta with embroidered edges.
"
215,zakia-short-kurta-set-3319,Zakia Short Kurta Set,Short Kurta Set,"Indulge in the epitome of sophistication with our handwoven cotton tissue short kurta set in soothing beige. Featuring a sophisticated touch neck with a slit and full sleeves. Embroidered delicately with silk threads in tonal hues and embellished with gold sequins and pearls, it exudes timeless elegance. Paired with a matching Pakistani salwar and a pure silk organza dupatta featuring intricate motifs, this ensemble promises to elevate your style with effortless grace and charm.","Thread Embroidery, Sequin Embroidery, Pearl Work","Tissue, Organza",Beige,Kurta Set,"The dress is a light brown salwar kameez with white floral embroidery around the neckline, down the front, on the sleeves, and at the hem of the pants, featuring a keyhole neckline and wide-legged pants.
"
216,jafna-co-ordinate-set-3382,Jafna Co-Ordinate Set,Co-Ordinate Set,"Elevate your ensemble with this graceful co-ordinate set in pink pure silk satin and pure satin jacquard. The top features a slit-open touch neck, kimono sleeves, and delicate applique work on the yoke outlined with beige silk thread for added elegance. Paired with pink pure silk satin straight-fit pants, the ensemble exudes sophistication. Complete with pure flat chiffon scarf in an ombre blend of pink and light pink, adorned with lace work and tassles at the edges, for a delicate and ethereal finishing touch.","Thread Embroidery, Applique Work, Lace Work","Satin, Chiffon",Pink,Co-ordinate Set,"The dress is a light pink, loose-fitting tunic with a subtle floral pattern woven into the fabric, featuring short sleeves with white striped trim, a vertical striped panel down the front, and delicate floral embroidery on the upper sleeves.
"
217,aafa-co-ordinate-set-3381,Aafa Co-Ordinate Set,Co-Ordinate Set,"Elevate your style with this exquisite co-ordinate set in a sophisticated beige hue, crafted from luxurious pure silk satin and pure satin jacquard. The shirt, featuring a band collar neck and a front-open design with yoke and gathers, exudes elegance and flair. Embellished full sleeves of pure satin jacquard add a luxurious contrast, while cutwork detailing outlined with beige silk thread adds intricate charm. Paired with straight-fit pants in beige pure satin jacquard, the ensemble offers a harmonious and co-ordinated look. Complete with pure flat chiffon scarf in an ombre blend of off-white and beige, adorned with embroidered flowers at the edge, for a graceful finishing touch.","Eyelet Embroidery, Thread Embroidery","Satin, Chiffon","Beige, White",Co-ordinate Set,"The dress is a two-piece set in a light golden hue, featuring a long-sleeved tunic top with a mandarin collar, decorative floral cutouts on the yoke and sleeves, a button-down front with paisley patterned trim, and matching straight-leg pants with a subtle paisley pattern throughout.
"
218,afifa-saree-set-3379,Afifa Saree Set,Saree Set,"Indulge in the regal elegance of our blue handwoven cotton tissue saree, adorned with exquisite light gold metal pitta work in intricate floral patterns. A gold border and zari accents add opulence, while light gold sequins enhance its allure.

Pair this enchanting saree with our stylish sleeveless blouse in matching blue handwoven raw silk. Featuring a deep neckline, the blouse is adorned with intricate floral embroidery in beige and soft pink silk threads, along with gold zari, sequins, and beads, adding glamour and sophistication.","Pitta Work, Zari Work, Sequin Embroidery","Tissue, Raw Silk",Blue,Saree Set,"The dress is a light blue three-piece ensemble featuring a long-sleeved jacket with a mandarin collar, a draped dupatta, and a skirt, all adorned with intricate white floral embroidery along the edges and sleeves of the jacket, and scattered gold floral embellishments on the dupatta and lower portion of the skirt.
"
219,fabia-saree-set-3378,Fabia Saree Set,Saree Set,"Elevate your style with our off-white pure silk organza saree, adorned with intricate hand embroidered floral motifs using dull gold sequins, zari, and pearls. The delicately scattered floral motifs and a gold-dori border add opulence, while crystal tassels enhance its allure.

Pair this stunning saree with a stylish front neckline blouse in matching handwoven cotton tissue. Featuring a deep back neckline with a charming bow design and the same hand embroidery, this ensemble exudes grace and sophistication.","Sequin Embroidery, Zari Work, Pearl Work","Organza, Silk, Tissue, Cotton","White, Gold",Saree Set,"The dress is a white saree with gold floral embroidery and sequin embellishments, featuring a gold border and a sleeveless blouse with matching embroidery.
"
220,hafia-saree-set-3377,Hafia Saree Set,Saree Set,"Elevate your beauty with our stunning ombre green shimmer georgette saree. The saree is adorned with exquisite beige silk thread flowers embellished with glittering gold sequins, beads and lustrous pearls, and emits mesmerising beauty. Its broad scalloped border, delicately edged, is enhanced with glittering Swavrovski crystal tassels. Paired with a stunning sleeveless blouse made of pure silk organza, having a deep boat neckline, embellished with embroidered beige silk thread flowers, and wonderfully accented with gold sequins and pearls, this ensemble ensures you make a compelling statement with each step.","Sequin Embroidery, Zari Work, Bead Work","Georgette, Silk, Organza","Green, Beige",Saree Set,"The dress is a light yellow saree with intricate embroidery and embellishments, featuring a sleeveless blouse with floral embroidery around the neckline and a scalloped border with beadwork along the edges of the saree.
"
221,myra-cape-set-3375,Myra Cape Set,Cape Set,"Experience timeless sophistication with this beige cape set, crafted from luxurious pure silk georgette. The cape features a touch neck, front open design, and elegant off-white satin silk fringes. Intricate hand embroidery in off-white silk thread and dull gold sequins adorn the cape, creating a refined charm. Paired with matching straight-fit pants enhanced with coordinating embroidery along the borders, this set ensures a coordinated look. A satin slip is included for comfort and a smooth silhouette.",Sequin Embroidery,"Georgette, Silk, Satin","Beige, White",Cape Set,"The outfit features a beige top with intricate white floral embroidery and a matching beige pant with white fringe detailing along the sides and hem.
"
222,nida-angrakha-set-3374,Nida Angrakha Set,Angrakha Set,"Elevate your wardrobe with this exquisite long angrakha set in sophisticated beige, crafted from pure silk organza and pure flat chiffon. The angrakha features a touch neck, full sleeves, and intricate off-white organza applique work with floral jaal embroidery, sequins, and silver dabka accents.

Matching straight pants in pure silk organza with coordinating embroidery and a pure flat chiffon dupatta in an ombre blend of off-white and beige, embellished with hand-embroidered dabka and sequin borders and motifs, complete this refined ensemble.","Applique Work, Sequin Embroidery, Dabka Work, Thread Embroidery","Organza, Silk, Chiffon","Beige, White, Silver",Angrakha Set,"The dress is a light beige Anarkali suit with intricate white floral embroidery and embellishments throughout, featuring a V-neckline with a sheer panel, long sleeves, and a flowing skirt, paired with matching embroidered pants and a sheer dupatta.
"
223,layla-short-anarkali-set-3372,Layla Short Anarkali Set,Short Anarkali Set,"Exude timeless elegance with this blue short anarkali set in pure silk organza and handwoven cotton tissue. The short anarkali features a touch neck with a keyhole detail, full sleeves, and intricate aari work with beige silk thread work and dull gold sequins. Paired with a matching handwoven cotton tissue Pakistani salwar adorned with delicate embroidery and scattered motifs. The set is completed by a peach cotton tissue dupatta with a border of gold sequins and beige silk thread work, adding a perfect contrast.",Sequin Embroidery,"Organza, Silk, Tissue, Cotton","Blue, Peach",Anarkali Set,"The dress is a blue Anarkali suit with gold embroidery, featuring a round neckline with a keyhole cutout, long sleeves, a fitted bodice, a flared skirt with floral patterns, and matching blue pants with gold detailing at the hem.
"
224,aali-sharara-set-3370,Aali Sharara Set,Sharara Set,"Step into elegance with our lime green sharara set in pure silk organza. The short kurta, featuring a touch neck with tie-up tassels, and full sleeves. It pairs beautifully with a paneled sharara and a peach pink handwoven cotton tissue dupatta. All adorned with intricate Mughal-inspired pitta work, cotton thread embroidery, sequins and pearls. This makes for a graceful and sophisticated ensemble.","Sequin Embroidery, Pearl Work, Thread Embroidery, Pitta Work","Organza, Silk, Tissue, Cotton","Green, Peach, Pink",Sharara Set,"The dress is a three-piece ensemble featuring a chartreuse green kurta with intricate silver embroidery around the neckline and sleeves, paired with a flowing chartreuse green skirt adorned with floral embroidery, and a draped peach-colored dupatta with silver trim and yellow tassel detailing.
"
225,barika-lehenga-set-3369,Barika Lehenga Set,Lehenga Set,"Step into timeless elegance with our ethereal lehenga set, crafted from pure silk organza in delicate off-white. Adorned with intricate off-white cotton thread kufal pattern embroidery, enhanced with floral motifs and shimmering sequins, Swarovski crystals and pearls, the lehenga exudes grace with every step. The stylish blouse, featuring a deep neckline and sleeves in off-white pure raw silk, is adorned with hand embroidered floral motifs, enhanced with pearls, Swarovski crystals and sequins, framed by a beautiful border around the hemline. Completing this enchanting ensemble is a matching off-white pure organza dupatta, delicately embroidered with sequins and pearls, and enhanced with Swarovski crystal tassles.","Sequin Embroidery, Pearl Work, Thread Embroidery, Swarovski, Bead Work, Cut Work","Organza, Silk, Raw Silk",White,Lehenga Set,"The dress is a light beige lehenga with a heavily embellished choli featuring a V-neckline and long sleeves, the lehenga skirt has an intricate geometric pattern with shimmering accents throughout, and a sheer dupatta with delicate embroidery and a silver border is draped across the body.
"
226,gulaab-lehenga-set-3368,Gulaab Lehenga Set,Lehenga Set,"Embrace enchantment with our exquisite lehenga set in ethereal off-white. The handwoven cotton tissue lehenga blooms with stunning multi-colour silk thread floral embroidery, while intricate gold dabka floral motifs, sequins, and pearls add timeless beauty. The matching stylish handwoven tissue silk blouse complements with its deep neckline, and celestial hand embroidery. Completing this enchanting ensemble is a striped handwoven linen tissue dupatta in beige and light blue, adorned with multi-colour silk thread embroidery, zardoz, sequins, and pearls, providing a sophisticated finish.","Sequin Embroidery, Pearl Work, Thread Embroidery, Zardozi Embroidery, Bead Work","Tissue, Cotton, Linen, Silk","Beige, Blue, White, Gold",Lehenga Set,
227,reeha-cape-set-3347,Reeha Cape Set,Cape Set,"This elegant cape, crafted from pure silk organza in sophisticated beige, features a touch neck and front open design for a graceful silhouette. Paired with matching straight-fit pants, his ensemble blends traditional craftsmanship with modern elegance, perfect for any special occasion. The set is adorned with intricate floral zardozi jaal using gold zari, beige silk threads, sequins, pearls, and Swarovski crystal tassels.","Sequin Embroidery, Zardozi Embroidery, Thread Embroidery, Swarovski","Organza, Silk, Satin","Beige, Gold",Cape Set,"The dress is a beige-colored, two-piece outfit consisting of a tunic-style top and straight-leg pants, both made from a sheer fabric with intricate floral embroidery and bead embellishments throughout, the top features a center front zipper and a beaded fringe along the hem and sleeve edges, while the pants have similar embroidery details at the hem.
"
228,narwa-saree-set-3344,Narwa Saree Set,Saree Set,"Step into the spotlight with our stunning pure shimmer georgette saree in a captivating ombre yellow hue. Adorned with exquisite tonal colour gold sequin embroidery and gold zari work, every stitch whispers of elegance and allure, catching the light with every movement. Elegantly bordered with a a double-colour blocked pure silk satin piping. Complete your look with the stylish halter neck blouse, crafted from pure shimmer georgette in a matching colour, ensuring you radiate charm and grace on every occasion.","Sequin Embroidery, Zari Work, Swarovski","Georgette, Silk, Satin","Yellow, Gold",Saree Set,"The dress is a light yellow saree with horizontal stripes of shimmering sequins, the fabric is draped in a traditional style with multiple folds and pleats.
"
229,aaira-saree-set-3343,Aaira Saree Set,Saree Set,"With its captivating ombre look of off-white and beige, our pure shimmer georgette saree will envelop you in perfect beauty. This saree oozes refinement with its tonal sequin and pearl embroidery arranged in a scattered, vertical design, accentuated by a double-colour blocked pure silk satin piping. Further accentuated Swarovski crystal tassels, lending a touch of elegance. Wear it with our chic blouse, which has a deep V-neckline and is made of pure silk organza. An exquisite and classic look is created by the blouse's applique work flower motifs, which is highlighted with light gold zari, sequins, and pearls.","Sequin Embroidery, Applique Work, Pearl Work, Zari Work, Swarovski","Georgette, Silk, Organza, Satin","White, Beige, Gold",Saree Set,"The dress is a light yellow saree with silver beaded lines running horizontally across the fabric, the pallu has a slightly darker shade and also features the same silver beaded line design.
"
230,rufi-saree-set-3342,Rufi Saree Set,Saree Set,"Drape yourself in elegance with our pure shimmer georgette saree in ombre soft pink. Adorned with intricately hand embroidered tonal sequins, this saree exudes sophistication. Enhanced by double-colour blocked pure silk satin piping, and Swarovski crystal tassels for added charm, it's a masterpiece of refined beauty. Complete your look with our stylish halter neck blouse in matching pure raw silk, featuring delicate sequins, pearls, and beads embroidery, for a truly enchanting ensemble.",Sequin Embroidery,"Georgette, Silk, Raw Silk, Satin",Pink,Saree Set,"The dress is a saree with a halter-style blouse, featuring a color gradient from white to light pink, adorned with silver sequin stripes and a heavily sequined border and blouse.
"
231,lisna-saree-set-3341,Lisna Saree Set,Saree Set,"Make a statement with our handwoven cotton tissue saree in a sublime green colour, a masterpiece of beauty and grace. This gorgeous saree features delicate off-white and beige flower and paisley design using silk threads and gara embroidery. Accented with sparkling gold sequins and pearls to create a stunning tapestry of beauty. It exemplifies exceptional craftsmanship with a double-colour blocked pure silk satin piping that conveys everlasting beauty. Complete your ensemble with our trendy sleeveless blouse made of pure raw silk in a similar green colour. Its deep V-neckline and floral gara embroidery, accentuated with beige silk accents, rich gold sequins and pearls, ensuring that you exude elegance and make a lasting impact wherever you go.","Applique Work, Gara Embroidery, Sequin Embroidery, Pearl Work","Tissue, Cotton, Silk, Raw Silk, Satin","Green, White, Beige, Gold",Saree Set,"The dress is a light green saree with intricate silver floral embroidery and paisley patterns along the borders and scattered throughout the fabric.
"
232,nura-kaftan-set-3340,Nura Kaftan Set,Kaftan Set,"In the realm of verdant dreams, behold this enchanting lime green asymmetrical kaftan set, a fusion of elegance and allure. Crafted from pure satin jacquard, the kaftan boasts a touch neck and gathered sleeves with cuffs adorned with floral pattern embroidery in off-white silk thread, delicately embellished with silver sequins. Paired with straight-fit pure silk satin pants adorned with embroidered vertical lines, the ensemble embodies a timeless romance. Completing this vision is a matching lime green pure flat chiffon scarf, its edges bordered with delicate motifs, weaving a tale of sophistication and enchantment.","Sequin Embroidery, Thread Embroidery","Satin, Jacquard, Silk, Chiffon","Green, White, Silver",Kaftan Set,"The dress is a loose-fitting, chartreuse-colored kaftan with a square neckline adorned with intricate white floral embroidery, short sleeves with white trim, subtle paisley pattern throughout the fabric, and pleated detailing below the embroidered yoke.
"
233,ainaz-lehenga-set-3339,Ainaz Lehenga Set,Lehenga Set,"In the realm of divine elegance, behold this ethereal pure silk organza lehenga, fashioned in an enchanting off-white hue. The matching pure silk organza blouse enchants with its deep neckline and noodle straps, while the dupatta, a celestial veil completes the ensemble with timeless elegance and unparalleled craftsmanship. Inspired by Mughal architecture, it boasts of applique work,  silk thread embroidery floral motifs which dance like whispers of poetry across the fabric, highlighted with sequins, pearls and Swarovski crystals.","Applique Work, Sequin Embroidery, Pearl Work, Thread Embroidery, Swarovski","Organza, Silk","White, Beige",Lehenga Set,"The dress is a light beige lehenga with a square-neck choli featuring delicate straps and tassel details, paired with a matching dupatta that has an embroidered border and pearl embellishments, the lehenga skirt is heavily embroidered with intricate patterns and subtle shimmer.
"
234,farasha-sharara-set-3334,Farasha Sharara Set,Sharara Set,"Make a style statement with this exquisite sharara set in timeless beige pure silk organza. The kurta boasts a deep V-neck and with a front opening, adorned with intricate zardozi floral jaal using tonal silk threads, shimmering sequins, pearls and Swarovski crystals. Completing the ensemble is a matching three-tier sharara and a handwoven tissue silk dupatta, both featuring matching embroidery, adding a touch of opulence and romance to your look.","Sequin Embroidery, Zardozi Embroidery, Thread Embroidery, Bead Work, Swarovski","Organza, Silk, Tissue",Beige,Sharara Set,"The dress is a light golden, possibly beige or champagne-colored, traditional Indian outfit featuring a V-neck top with long, sheer sleeves and intricate embroidery or embellishments, paired with a tiered, flowing skirt or sharara pants, and a matching dupatta with delicate floral patterns and a shimmering border.
"
235,rooh-short-anarkali-set-3333,Rooh Short Anarkali Set,Short Anarkali Set,"Enhance your wardrobe with this exquisite short anarkali set in beautiful lime green. Crafted from pure silk georgette, the short anarkali has a timeless round neckline, long churidhar sleeves and is adorned with a lovely floral jaal using delicate patri work, off-white cotton threads and silver sequins. The set oozes seamless elegance when paired with similarly embroidered straight pants. A lime green pure silk organza dupatta with matching embroidered flowers and dispersed silver sequins completes the look, giving grace and sophistication.","Patri Work, Thread Embroidery, Zari Work","Georgette, Silk, Organza","Green, Silver",Anarkali Set,"The dress is a three-piece suit in a light green color, featuring a kurta with a round neckline and three-quarter sleeves, adorned with intricate white floral embroidery throughout, paired with matching straight-leg pants also embellished with the same floral embroidery, and a sheer dupatta with a beaded border.
"
236,zia-kaftan-set-3332,Zia Kaftan Set,Kaftan Set,"Make a statement with this stunning pure silk satin kaftan set in a brilliant blue colour. The kaftan's traditional touch neckline with a slit, gathered sleeves with cuffs, and pure satin jacquard pin-tucks yoke exude timeless beauty. Intricate patri work in off-white cotton thread adorns the attire, creating intricate floral designs that are delicately enhanced with hand-done silver sequins and zari for an enchanting touch. Paired with matching pure satin jacquard straight pants, this ensemble emanates effortless sophistication. An ombre dyed pure flat chiffon scarf, featuring delicate floral motifs, scalloped hemline and tassels completes the look and adds the final touch of elegance.","Patri Work, Thread Embroidery, Zari Work","Satin, Jacquard, Silk, Chiffon","Blue, Silver",Kaftan Set,"The dress is a two-piece set in a light blue color, featuring a long, flowing top with short, puffed sleeves trimmed with white scalloped edges, and a matching scarf with white floral embroidery and tassel details, paired with straight-leg pants adorned with a subtle floral pattern.
"
237,maavi-cape-set-3329,Maavi Cape Set,Cape Set,"This elegant cape set, crafted from pure silk organza in pristine off-white, features a touch neck and front open design for a graceful silhouette. Adorned with tonal floral applique work and intricate hand embroidery using silver zari, sequins, and pearls, the cape is enhanced by pearls and Swarovski crystal tassels on the hemline. Paired with matching straight pants, also embellished with silver zari, sequins, and pearls, this ensemble blends traditional craftsmanship with modern elegance, perfect for any special occasion.","Applique Work, Sequin Embroidery, Zari Work, Pearl Work, Swarovski","Organza, Silk, Satin","White, Silver",Cape Set,"The dress is a light-colored, possibly white or off-white, semi-sheer tunic with a cape-like overlay, featuring delicate floral embroidery and subtle sequin embellishments throughout, the tunic has a straight, simple cut with a round neckline and a front opening trimmed with a thin white border, the cape overlay has a fringed hemline with small beaded details, and the accompanying pants are straight-legged with vertical stripes of sequins or embellishments.
"
238,taia-angrakha-set-3325,Taia Angrakha Set,Angrakha Set,"Embrace sophistication in our timeless off-white handwoven chanderi mulmul asymmetrical long angrakha. With a deep V-neck and three-quarter sleeves, it pairs seamlessly with a pure lycra crepe churidhar. Adorned with gara embroidery in lime green silk threads and delicate sequins, it exudes elegance. Complete the look with a lime green ombre pure flat chiffon dupatta featuring off-white silk thread motifs, accented with sequins for a luxurious touch.","Gara Embroidery, Sequin Embroidery","Chanderi, Mulmul, Chiffon, Crepe","Green, White, Silver",Angrakha Set,"The dress is a white and light green salwar kameez with a V-neck, long sleeves, and floral embroidery, the kameez has a wrap-around style with tie strings, and the salwar is white.
"
239,ira-short-anarkali-set-3324,Ira Short Anarkali Set,Short Anarkali Set,"Immerse yourself in the beauty of our serene blue handwoven cotton tissue short anarkali. Featuring a band collar with a slit and three-quarter sleeves, it perfectly pairs with a matching Pakistani salwar for a harmonious ensemble. Adorned with exquisite embroidery in blue and off-white silk threads, embellished with sequins and pearls throughout, this outfit exudes elegance. Complete your look with a pure silk organza dupatta in a blue and off-white ombre effect, featuring matching silk thread embroidery and accents of sequins and pearls, for an enchanting finish.","Sequin Embroidery, Pearl Work, Thread Embroidery","Tissue, Silk, Cotton, Organza",Blue,Anarkali Set,"The dress is a blue ombre kurta with silver floral embroidery around the neckline, placket, and cuffs, featuring a mandarin collar and tassel details, paired with matching pants that have similar floral embroidery at the hem, and a sheer dupatta with floral motifs and a silver border.
"
240,feba-short-anarkali-set-3323,Feba Short Anarkali Set,Short Anarkali Set,"Elevate your style with our vibrant yellow handwoven cotton tissue short anarkali. This stunning piece features a band collar with a slit, three-quarter sleeves, and is perfectly paired with a matching Pakistani salwar for a seamlessness. Adorned with intricate embroidery in yellow and beige silk threads, embellished with sequins and pearls throughout, this outfit exudes elegance. Complete your look with a pure silk organza dupatta in a yellow and off-white ombre effect, featuring matching silk thread embroidery and accents of sequins and pearls for a touch of glamour.","Sequin Embroidery, Pearl Work, Thread Embroidery","Tissue, Silk, Cotton, Organza","Yellow, Beige",Anarkali Set,"The dress is a yellow salwar kameez with intricate silver floral embroidery on the bodice, sleeves, and hem of the kameez, the salwar has similar embroidery at the bottom, and it includes a sheer dupatta with a delicate silver border and small floral motifs.
"
241,hena-angrakha-set-3363,Hena Angrakha Set,Angrakha Set,"Step into a realm of timeless allure with our paneled long angrakha set, carfted from luxurious handwoven cotton tissue in beige. The angrakha, adorned with intricate gara and eyelet embroidery inspired by Lucknowi finesse using beige cotton threads. It also boasts a deep neckline, full sleeves, and a scalloped hemline for added refinement. Paired with a handwoven beige chanderi mulmul dupatta featuring delicate gara embroidery and contrasting white tassels, this ensemble embodies elegance and romance. Complete with a pure lycra crepe beige churidhar, it's a vision of grace fit for any romantic affair.","Gara Embroidery, Eyelet Embroidery","Tissue, Chanderi, Mulmul, Crepe, Cotton","Beige, White",Angrakha Set,"The dress is a light beige, long-sleeved Anarkali-style dress with a wrap-around design, featuring intricate white embroidery along the neckline, front panels, sleeves, and hem, complemented by a matching dupatta with embroidered edges and tassel details.
"
242,haya-angrakha-set-3362,Haya Angrakha Set,Angrakha Set,"Step into enchantment with our paneled long angrakha set, carfted from luxurious handwoven cotton tissue in beige. The angrakha, adorned with intricate gara and eyelet embroidery inspired by Lucknowi finesse using beige cotton threads. It also boasts a deep neckline, full sleeves, and a scalloped hemline for added refinement. Paired with a handwoven lime green chanderi mulmul dupatta featuring delicate gara embroidery and contrasting white tassels, this ensemble embodies elegance and romance. Complete with a pure lycra crepe off-white churidhar, and let every step be a dance of grace and sophistication.","Gara Embroidery, Eyelet Embroidery","Tissue, Chanderi, Mulmul, Crepe, Cotton","Beige, White, Green",Angrakha Set,"The dress is a light-colored, possibly off-white or cream, Anarkali-style kurta with long sleeves and a high collar, featuring intricate white embroidery along the collar, sleeves, and hemline, with a vertical line of small embroidered floral patterns running down the front panels of the flared skirt.
"
243,aqila-cape-set-3361,Aqila Cape Set,Cape Set,"Introducing our enchanting blue handwoven silk chanderi jacket set, a masterpiece of allure and sophistication. The asymmetrical cape-style jacket opens in the front and has full sleeves. It is adorned with delicate off-white and beige gara embroidery, intertwining silk threads to weave tales of elegance. Each hemline is kissed by silver zari work, casting a spell of opulence. Paired with matching luxurious handwoven silk chanderi straight-fit pants and a stylish pure silk satin bustier. This ensemble is a symphony of romance and timeless beauty, perfect for those who wish to dance through life in exquisite style.","Gara Embroidery, Zari Work","Chanderi, Silk, Satin","Blue, Silver, Beige, White",Cape Set,"The dress is a three-piece set in a muted blue color, featuring a long, open-front jacket with full sleeves, a matching crop top, and straight-leg pants, all adorned with intricate gold floral embroidery along the edges, sleeves, and hem of the jacket, and subtle detailing on the top and pants.
"
244,nyza-cape-set-3360,Nyza Cape Set,Cape Set,"Introducing our enchanting yellow handwoven silk chanderi jacket set, a masterpiece of allure and sophistication. The asymmetrical cape-style jacket opens in the front and has full sleeves. It is adorned with delicate off-white and beige gara embroidery, intertwining silk threads to weave tales of elegance. Each hemline is kissed by silver zari work, casting a spell of opulence. Paired with matching luxurious handwoven silk chanderi straight-fit pants and a stylish pure silk satin bustier. This ensemble is a symphony of romance and timeless beauty, perfect for those who wish to dance through life in exquisite style.","Gara Embroidery, Zari Work","Chanderi, Silk, Satin","Yellow, Silver, Beige, White",Cape Set,"The dress is a long, open-front yellow coat with full sleeves, adorned with intricate white floral embroidery along the front edges, hem, and cuffs, featuring a delicate gold trim along the opening.
"
245,diwa-co-ordinate-set-3357,Diwa Co-Ordinate Set,Co-Ordinate Set,"Elevate your soul with our off-white pure linen co-ordinate set. The top's relaxed fit and exquisite pin tucks exude polished sophistication. A deep-slit stand collar adds modern appeal, while embroidered cuffs in tonal silk thread evoke classic romanticism. It's a love song in fabric, embellished with an alluring flower pattern. Paired with embroidered flared pants with matching floral motifs, this ensemble is a symphony of style and grace, ideal for individuals who value the art of effortless elegance.",Thread Embroidery,Linen,White,Co-ordinate Set,"The dress is a two-piece set featuring a long-sleeved, off-white tunic with a high, tie-front collar and delicate floral embroidery on the chest and cuffs, paired with matching wide-legged pants adorned with a subtle floral pattern throughout.
"
246,hyat-co-ordinate-set-3356,Hyat Co-Ordinate Set,Co-Ordinate Set,"Step into a realm of refined elegance with our off-white pure linen co-ordinate set. The shirt, boasting a loose kaftan fit with playful ruffles adorning the sleeves, exudes effortless flair. Styled with a classic shirt collar, it is elevated by tonal colour silk thread embroidered flowers on the shoulder and sleeves. Paired with flared pants adorned with matching silk thread embroidered floral motifs, this ensemble is a seamless fusion of grace and sophistication. Perfect for those who cherish effortless style with a touch of romance.",Thread Embroidery,Linen,White,Co-ordinate Set,"The dress is a white, button-down shirt with a collar and three-quarter sleeves featuring ruffled edges and embroidered floral detailing, paired with matching wide-leg pants adorned with an all-over floral pattern.
"
247,fana-co-ordinate-set-3355,Fana Co-Ordinate Set,Co-Ordinate Set,"Embark on a journey of refined elegance with our beige pure linen co-ordinate set. The shirt, with its loose fit and classic top collar, whispers tales of timeless allure. Adorned with an embroidered tonal rose flower stem applique and delicately enhanced with silk thread embroidery, it's a symphony of romance and sophistication. Paired with straight-fit pants, embellished with embroidered rose flowers using tonal silk threads, this ensemble is a love letter to refined style, promising to captivate hearts with every step.","Thread Embroidery, Applique Work",Linen,"Beige, White",Co-ordinate Set,"The dress is a light beige, button-down shirt with long sleeves and a floral design on the front, paired with matching pants that have an all-over floral pattern.
"
248,aami-co-ordinate-set-3354,Aami Co-Ordinate Set,Co-Ordinate Set,"Make a statement with our exquisite beige pure linen co-ordinate set. The shirt features a modern high-low hem and loose fit, adorned with delicate tonal gara embroidery flowers. Paired with straight pants embellished with matching embroidered geometrical motifs, this ensemble exudes sophistication and style.",Gara Embroidery,Linen,Beige,Co-ordinate Set,"The dress is a light beige, button-down shirt with a collar and long sleeves, featuring decorative trim along the button line and hem, paired with matching pants that have a subtle geometric pattern.
"
